variant,collapsed
BQ.1.8.2,BQ.1
BQ.2,BE.1
BR.1,BA.2.75
BR.1.2,BA.2.75
BR.2.1,BA.2.75
BR.3,BA.2.75
BR.5,BA.2.75
BS.1,BA.2.3
BS.1.1,BA.2.3
BT.1,BA.5.1
BT.2,BA.5.1
BU.1,BA.5.2
BV.1,BA.5.2
BV.2,BA.5.2
BW.1,BA.5
BW.1.1,BA.5
BW.1.1.1,BA.5
BW.1.1.2,BA.5
BY.1,BA.2.75
BY.1.1,BA.2.75
BY.1.1.1,BA.2.75
BY.1.2,BA.2.75
BY.1.2.1,BA.2.75
C.1.2,B.1.1
C.16,B.1.1
C.2.1,B.1.1
C.33,B.1.1
C.35,B.1.1
C.36,B.1.1
C.36.3,B.1.1
C.36.3.1,B.1.1
C.37,B.1.1
C.38,B.1.1
CA.1,BA.2.75
CA.2,BA.2.75
CA.3,BA.2.75
CA.3.1,BA.2.75
CA.5,BA.2.75
CA.6,BA.2.75
CA.7,BA.2.75
CB.1,BA.2.75
CC.1,BE.1
CD.1,BA.5.2
CE.1,BA.5.2
CG.1,BA.5.2
CH.1,BA.2.75
CH.1.1,CH.1.1
CH.1.1.1,CH.1.1.1
CH.1.1.10,CH.1.1
CH.1.1.11,CH.1.1
CH.1.1.12,CH.1.1
CH.1.1.13,CH.1.1
CH.1.1.14,CH.1.1
CH.1.1.15,CH.1.1
CH.1.1.16,CH.1.1
CH.1.1.17,CH.1.1
CH.1.1.18,CH.1.1
CH.1.1.19,CH.1.1
CH.1.1.2,CH.1.1
CH.1.1.20,CH.1.1
CH.1.1.21,CH.1.1
CH.1.1.23,CH.1.1
CH.1.1.24,CH.1.1
CH.1.1.25,CH.1.1
CH.1.1.26,CH.1.1
CH.1.1.27,CH.1.1
CH.1.1.28,CH.1.1
CH.1.1.3,CH.1.1
CH.1.1.30,CH.1.1
CH.1.1.32,CH.1.1
CH.1.1.5,CH.1.1
CH.1.1.6,CH.1.1
CH.1.1.7,CH.1.1
CH.1.1.8,CH.1.1
CH.1.1.9,CH.1.1
CH.3.1,BA.2.75
CJ.1,BA.2.75
CJ.1.1,BA.2.75
CJ.1.2,BA.2.75
CJ.1.3,BA.2.75
CK.1,BA.5.2
CK.1.2,BA.5.2
CK.1.3,BA.5.2
CK.1.4,BA.5.2
CK.2,BA.5.2
CK.2.1,BA.5.2
CK.2.1.1,BA.5.2
CK.3,BA.5.2
CL.1,BA.5.1
CL.1.1,BA.5.1
CL.1.2,BA.5.1
CL.1.3,BA.5.1
CM.11,BA.2.3
CM.12,BA.2.3
CM.2,BA.2.3
CM.2.1,BA.2.3
CM.3,BA.2.3
CM.4,BA.2.3
CM.4.1,BA.2.3
CM.5,BA.2.3
CM.7.1,BA.2.3
CM.7.1.1,BA.2.3
CM.8,BA.2.3
CM.8.1,BA.2.3
CM.8.1.3,BA.2.3
CM.8.1.4,BA.2.3
CN.1,BA.5.2
CP.1,BA.5.2
CP.1.1,BA.5.2
CP.1.2,BA.5.2
CP.1.3,BA.5.2
CP.3,BA.5.2
CP.5,BA.5.2
CP.8,BA.5.2
CQ.1.1,BA.5
CQ.2,BA.5
CR.1,BA.5.2
CR.1.1,BA.5.2
CR.1.3,BA.5.2
CR.2,BA.5.2
CS.1,BA.4
CT.1,BA.5.2
CV.1,BA.2.75
CV.2,BA.2.75
CW.1,BQ.1.1
CZ.1,BQ.1.1
DA.1,BA.5.2
DC.1,BA.4
DE.1,BA.5.1
DF.1,BA.5
DF.1.1,BA.5
DG.1,BA.5.2
DJ.1.1.1,BA.5.1
DK.1,BQ.1.1
DL.1,BA.5.1
DN.1,BQ.1.1
DN.1.1,BQ.1.1
DN.1.1.1,BQ.1.1
DN.1.1.2,BQ.1.1
DN.1.1.3,BQ.1.1
DN.1.1.4,BQ.1.1
DN.2,BQ.1.1
DP.1,BQ.1.1
DQ.1,BA.5.2
DS.1,BA.2.75
DS.2,BA.2.75
DS.3,BA.2.75
DT.1,BQ.1.1
DT.2,BQ.1.1
DU.1,BQ.1.1
DV.1,CH.1.1.1
DV.1.1,CH.1.1.1
DV.2,CH.1.1.1
DV.3,CH.1.1.1
DV.3.1,CH.1.1.1
DV.4,CH.1.1.1
DV.5,CH.1.1.1
DV.6,CH.1.1.1
DV.6.1,CH.1.1.1
DV.6.2,CH.1.1.1
DV.7,CH.1.1.1
DV.7.1,CH.1.1.1
DV.7.1.1,CH.1.1.1
DV.7.1.2,CH.1.1.1
DV.7.1.3,CH.1.1.1
DV.7.1.4,CH.1.1.1
DV.7.1.5,CH.1.1.1
DV.7.1.6,CH.1.1.1
DV.7.1.7,CH.1.1.1
DV.7.2,CH.1.1.1
DV.8,CH.1.1.1
DW.1,BE.1
DY.1,BA.5.2
DY.2,BA.5.2
DY.4,BA.5.2
EA.1,BQ.1.1
EC.1,BQ.1
EC.1.1,BQ.1
ED.2,BQ.1.1
EE.2,BQ.1.1
EE.4,BQ.1.1
EE.5,BQ.1.1
EF.1,BQ.1.1
EF.1.1,BQ.1.1
EF.1.1.1,BQ.1.1
EF.1.2,BQ.1.1
EF.1.3,BQ.1.1
EF.2,BQ.1.1
EF.3,BQ.1.1
EG.1,XBB.1
EG.1.1,XBB.1
EG.1.2,XBB.1
EG.1.3,XBB.1
EG.1.4,XBB.1
EG.1.4.1,XBB.1
EG.1.5,XBB.1
EG.1.6,XBB.1
EG.1.7,XBB.1
EG.1.8,XBB.1
EG.10,XBB.1
EG.10.1,XBB.1
EG.10.1.1,XBB.1
EG.11,XBB.1
EG.12,XBB.1
EG.13,XBB.1
EG.14,XBB.1
EG.2,XBB.1
EG.2.2,XBB.1
EG.2.4,XBB.1
EG.2.5,XBB.1
EG.3,XBB.1
EG.4,XBB.1
EG.4.1,XBB.1
EG.4.4,XBB.1
EG.4.5,XBB.1
EG.5,XBB.1
EG.5.1,EG.5.1
EG.5.1.1,EG.5.1
EG.5.1.10,EG.5.1
EG.5.1.12,EG.5.1
EG.5.1.13,EG.5.1
EG.5.1.14,EG.5.1
EG.5.1.15,EG.5.1
EG.5.1.16,EG.5.1
EG.5.1.18,EG.5.1
EG.5.1.19,EG.5.1
EG.5.1.2,EG.5.1
EG.5.1.3,EG.5.1
EG.5.1.4,EG.5.1
EG.5.1.5,EG.5.1
EG.5.1.6,EG.5.1
EG.5.1.7,EG.5.1
EG.5.1.8,EG.5.1
EG.5.1.9,EG.5.1
EG.5.2,XBB.1
EG.5.2.1,XBB.1
EG.5.2.2,XBB.1
EG.5.2.3,XBB.1
EG.5.2.4,XBB.1
EG.6,XBB.1
EG.6.1,XBB.1
EG.6.1.1,XBB.1
EG.6.1.2,XBB.1
EG.7,XBB.1
EG.8,XBB.1
EG.9,XBB.1
EG.9.1,XBB.1
EH.1,BQ.1.1
EJ.1,BA.2.75
EJ.2,BA.2.75
EK.2,XBB.1.5
EK.2.1,XBB.1.5
EK.3,XBB.1.5
EK.4,XBB.1.5
EL.1,XBB.1.5
EM.1,XBB.1.5
EN.1,BQ.1.1
EQ.1,BA.5.1
ER.1,BQ.1.1
ER.1.1,BQ.1.1
ES.1,BQ.1.1
ET.1,BQ.1.1
EU.1,XBB.1.5
EU.1.1,XBB.1.5
EU.1.1.1,XBB.1.5
EU.1.1.3,XBB.1.5
EV.1,BQ.1.1
EW.1,BQ.1.1
EW.2,BQ.1.1
EZ.1,BQ.1.1
FA.1,BQ.1.1
FB.1,BQ.1
FB.2,BQ.1
FC.1,BQ.1.1
FD.1,XBB.1.5
FD.1.1,XBB.1.5
FD.2,XBB.1.5
FD.3,XBB.1.5
FD.4,XBB.1.5
FD.4.1,XBB.1.5
FD.5.1,XBB.1.5
FE.1,XBB.1
FE.1.1,XBB.1
FE.1.1.1,XBB.1
FE.1.1.5,XBB.1
FE.1.2,XBB.1
FF.1,BQ.1
FG.1,XBB.1.5
FG.2,XBB.1.5
FG.3,XBB.1.5
FH.1,XBB.1.5
FJ.1,CH.1.1
FK.1,CH.1.1
FK.1.1,CH.1.1
FK.1.1.2,CH.1.1
FK.1.2,CH.1.1
FK.1.2.1,CH.1.1
FK.1.2.2,CH.1.1
FK.1.3.2,CH.1.1
FK.1.5,CH.1.1
FL.1,XBB.1.9.1
FL.1.1,XBB.1.9.1
FL.1.2,XBB.1.9.1
FL.1.3,XBB.1.9.1
FL.1.4,XBB.1.9.1
FL.1.5,XBB.1.9.1
FL.1.5.1,XBB.1.9.1
FL.1.5.2,XBB.1.9.1
FL.1.6,XBB.1.9.1
FL.1.8,XBB.1.9.1
FL.10,XBB.1.9.1
FL.10.1,XBB.1.9.1
FL.10.3,XBB.1.9.1
FL.11,XBB.1.9.1
FL.12,XBB.1.9.1
FL.13,XBB.1.9.1
FL.13.2,XBB.1.9.1
FL.13.3,XBB.1.9.1
FL.13.3.1,XBB.1.9.1
FL.13.4,XBB.1.9.1
FL.13.4.1,XBB.1.9.1
FL.14,XBB.1.9.1
FL.15,XBB.1.9.1
FL.15.1.1,XBB.1.9.1
FL.15.2,XBB.1.9.1
FL.15.3,XBB.1.9.1
FL.15.4,XBB.1.9.1
FL.16,XBB.1.9.1
FL.17,XBB.1.9.1
FL.17.2,XBB.1.9.1
FL.18,XBB.1.9.1
FL.18.1,XBB.1.9.1
FL.18.1.1,XBB.1.9.1
FL.19.1,XBB.1.9.1
FL.2,XBB.1.9.1
FL.2.1,XBB.1.9.1
FL.2.2,XBB.1.9.1
FL.2.2.1,XBB.1.9.1
FL.2.3,XBB.1.9.1
FL.2.4,XBB.1.9.1
FL.2.5,XBB.1.9.1
FL.2.6,XBB.1.9.1
FL.2.7,XBB.1.9.1
FL.2.7.1,XBB.1.9.1
FL.20,XBB.1.9.1
FL.20.1,XBB.1.9.1
FL.20.2,XBB.1.9.1
FL.21,XBB.1.9.1
FL.22,XBB.1.9.1
FL.23,XBB.1.9.1
FL.23.1,XBB.1.9.1
FL.24,XBB.1.9.1
FL.24.1,XBB.1.9.1
FL.25,XBB.1.9.1
FL.26,XBB.1.9.1
FL.26.1,XBB.1.9.1
FL.27,XBB.1.9.1
FL.29,XBB.1.9.1
FL.3,XBB.1.9.1
FL.3.1,XBB.1.9.1
FL.3.2,XBB.1.9.1
FL.3.3,XBB.1.9.1
FL.3.4,XBB.1.9.1
FL.31,XBB.1.9.1
FL.31.1,XBB.1.9.1
FL.32.1,XBB.1.9.1
FL.33,XBB.1.9.1
FL.33.1,XBB.1.9.1
FL.35,XBB.1.9.1
FL.36,XBB.1.9.1
FL.38,XBB.1.9.1
FL.39,XBB.1.9.1
FL.39.1,XBB.1.9.1
FL.4,XBB.1.9.1
FL.4.1,XBB.1.9.1
FL.4.1.1,XBB.1.9.1
FL.4.11,XBB.1.9.1
FL.4.4,XBB.1.9.1
FL.4.5,XBB.1.9.1
FL.4.6,XBB.1.9.1
FL.4.9,XBB.1.9.1
FL.40,XBB.1.9.1
FL.5,XBB.1.9.1
FL.5.1,XBB.1.9.1
FL.7,XBB.1.9.1
FL.8,XBB.1.9.1
FL.9,XBB.1.9.1
FM.1,BQ.1.1
FM.2,BQ.1.1
FN.1,BQ.1.1
FP.1,XBB.1
FP.2,XBB.1
FP.3,XBB.1
FQ.1,BQ.1.1
FR.1,BA.2.75
FR.1.3,BA.2.75
FS.1,CH.1.1
FT.3.1,XBB.1.5
FT.3.1.1,XBB.1.5
FU.1,XBB.1.16
FU.1.1.1,XBB.1.16
FU.2,XBB.1.16
FU.2.1,XBB.1.16
FU.3,XBB.1.16
FU.3.1,XBB.1.16
FU.4,XBB.1.16
FU.5,XBB.1.16
FV.1,BA.2.3
FW.1,XBB.1
FW.1.1,XBB.1
FW.1.1.1,XBB.1
FW.2,XBB.1
FY.1.1,XBB.1
FY.1.2,XBB.1
FY.1.2.1,XBB.1
FY.1.2.2,XBB.1
FY.1.2.3,XBB.1
FY.1.4.1,XBB.1
FY.2,XBB.1
FY.2.1,XBB.1
FY.3.1,XBB.1
FY.3.2,XBB.1
FY.3.3,XBB.1
FY.4,XBB.1
FY.4.1,XBB.1
FY.4.1.1,XBB.1
FY.4.1.2,XBB.1
FY.4.2,XBB.1
FY.5,XBB.1
FY.5.1,XBB.1
FY.5.1.1,XBB.1
FY.5.2,XBB.1
FY.5.4,XBB.1
FY.5.5,XBB.1
FY.5.5.1,XBB.1
FY.6,XBB.1
FY.8,XBB.1
FY.8.1,XBB.1
FY.8.1.1,XBB.1
FY.9,XBB.1
FZ.1,XBB.1.5
FZ.1.1,XBB.1.5
FZ.2,XBB.1.5
GA.1,XBB.1
GA.2,XBB.1
GA.2.1.1,XBB.1
GA.3,XBB.1
GA.4,XBB.1
GA.4.1,XBB.1
GA.4.1.1,XBB.1
GA.4.1.2,XBB.1
GA.4.1.3,XBB.1
GA.4.2,XBB.1
GA.5,XBB.1
GA.6,XBB.1
GA.7.1,XBB.1
GA.7.2,XBB.1
GA.9,XBB.1
GB.1,XBB.1.5
GB.2,XBB.1.5
GC.1,XBB.1.5
GD.1,XBB.1
GD.2,XBB.1
GE.1,other
GE.1.1,other
GE.1.2,other
GE.1.2.2,other
GE.1.3,other
GE.1.4,other
GE.1.5,other
GE.1.6,other
GF.1,XBB.1.5
GG.1,XBB.1.5
GJ.1,other
GJ.1.1,other
GJ.1.2,other
GJ.1.2.1,other
GJ.1.2.2,other
GJ.1.2.4,other
GJ.1.2.5,other
GJ.1.2.6,other
GJ.1.2.8,other
GJ.2,other
GJ.3,other
GJ.4,other
GJ.5,other
GJ.5.1,other
GJ.6,other
GK.1,XBB.1.5
GK.1.1,XBB.1.5
GK.1.1.1,XBB.1.5
GK.1.10,XBB.1.5
GK.1.2,XBB.1.5
GK.1.2.1,XBB.1.5
GK.1.3,XBB.1.5
GK.1.5,XBB.1.5
GK.1.6,XBB.1.5
GK.1.6.1,XBB.1.5
GK.1.7,XBB.1.5
GK.1.8,XBB.1.5
GK.1.8.1,XBB.1.5
GK.10,XBB.1.5
GK.2,XBB.1.5
GK.2.1,XBB.1.5
GK.2.1.1,XBB.1.5
GK.2.2,XBB.1.5
GK.2.3,XBB.1.5
GK.2.4,XBB.1.5
GK.3,XBB.1.5
GK.3.1,XBB.1.5
GK.4,XBB.1.5
GK.7,XBB.1.5
GK.8.1,XBB.1.5
GL.1,other
GL.3,other
GM.3,other
GN.1,XBB.1.5
GN.1.1,XBB.1.5
GN.1.3,XBB.1.5
GN.2,XBB.1.5
GN.4,XBB.1.5
GP.1,CH.1.1
GP.2,CH.1.1
GP.3,CH.1.1
GQ.1,CH.1.1
GR.1,XBB.1.5
GS.1,other
GS.3,other
GS.4,other
GS.4.1,other
GS.4.1.1,other
GS.5,other
GS.6,other
GS.7,other
GS.7.1,other
GS.8,other
GV.1,XBB.1.5
GW.1,XBB.1
GW.3,XBB.1
GW.4,XBB.1
GW.5,XBB.1
GW.5.1,XBB.1
GW.5.1.1,XBB.1
GW.5.2,XBB.1
GW.5.3,XBB.1
GW.5.3.1,XBB.1
GY.1,XBB.1.16
GY.1.1,XBB.1.16
GY.2.1,XBB.1.16
GY.5,XBB.1.16
GY.6,XBB.1.16
GY.7,XBB.1.16
GY.8,XBB.1.16
GY.9,XBB.1.16
GZ.1,other
HA.2,XBB.1.5
HB.1,XBB.1
HC.2,XBB.1.5
HC.4,XBB.1.5
HE.1,XBB.1
HF.1,XBB.1.16
HF.1.1,XBB.1.16
HF.1.2,XBB.1.16
HH.1,other
HH.1.1,other
HH.2,other
HH.2.1,other
HH.4,other
HH.5,other
HH.7,other
HH.8.1,other
HJ.1,XBB.1.5
HK.1,EG.5.1
HK.1.2,EG.5.1
HK.11,EG.5.1
HK.11.1,EG.5.1
HK.12,EG.5.1
HK.13,EG.5.1
HK.13.1,EG.5.1
HK.13.2,EG.5.1
HK.13.2.1,EG.5.1
HK.14,EG.5.1
HK.15,EG.5.1
HK.16,EG.5.1
HK.17,EG.5.1
HK.18,EG.5.1
HK.19,EG.5.1
HK.2,EG.5.1
HK.2.1,EG.5.1
HK.20.1,EG.5.1
HK.21,EG.5.1
HK.22,EG.5.1
HK.24.1,EG.5.1
HK.26,EG.5.1
HK.26.1,EG.5.1
HK.27,EG.5.1
HK.27.1,EG.5.1
HK.27.1.1,EG.5.1
HK.28,EG.5.1
HK.29,EG.5.1
HK.3,EG.5.1
HK.3.1,EG.5.1
HK.3.10,EG.5.1
HK.3.11,EG.5.1
HK.3.12,EG.5.1
HK.3.13,EG.5.1
HK.3.14,EG.5.1
HK.3.2,EG.5.1
HK.3.2.1,EG.5.1
HK.3.2.2,EG.5.1
HK.3.3,EG.5.1
HK.3.4,EG.5.1
HK.3.5,EG.5.1
HK.3.6,EG.5.1
HK.3.8,EG.5.1
HK.3.9,EG.5.1
HK.30,EG.5.1
HK.31,EG.5.1
HK.32,EG.5.1
HK.33,EG.5.1
HK.34,EG.5.1
HK.5,EG.5.1
HK.6,EG.5.1
HK.7,EG.5.1
HK.8,EG.5.1
HK.8.1,EG.5.1
HK.9,EG.5.1
HN.1,XBB.1.9.1
HN.2,XBB.1.9.1
HN.2.1,XBB.1.9.1
HN.4,XBB.1.9.1
HN.4.1,XBB.1.9.1
HN.4.2,XBB.1.9.1
HN.5,XBB.1.9.1
HN.6,XBB.1.9.1
HP.1.1,XBB.1.5
HQ.1,XBB.1.5
HR.1.1,XBB.1.5
HS.1,XBB.1.5
HT.1,XBB.1.5
HT.2,XBB.1.5
HU.1,XBB.1
HU.1.1,XBB.1
HV.1,EG.5.1
HV.1.1,EG.5.1
HV.1.2,EG.5.1
HV.1.3,EG.5.1
HV.1.4,EG.5.1
HV.1.5,EG.5.1
HV.1.6,EG.5.1
HV.1.6.1,EG.5.1
HV.1.8,EG.5.1
HV.1.9,EG.5.1
HV.2,EG.5.1
HW.1,other
HW.1.1,other
HY.1,XBB.1.5
HZ.1,XBB.1.5
HZ.2,XBB.1.5
JA.1,other
JB.1,XBB.1.5
JB.1.1,XBB.1.5
JB.2,XBB.1.5
JB.2.1,XBB.1.5
JC.1,XBB.1
JC.2,XBB.1
JC.3,XBB.1
JC.5,XBB.1
JC.5.1,XBB.1
JC.6,XBB.1
JD.1.1,XBB.1.5
JD.1.1.1,XBB.1.5
JD.1.1.2,XBB.1.5
JD.1.1.3,XBB.1.5
JD.1.1.4,XBB.1.5
JD.1.1.7,XBB.1.5
JD.1.1.8,XBB.1.5
JD.1.2,XBB.1.5
JD.2,XBB.1.5
JE.1,other
JE.1.1,other
JE.1.1.1,other
JF.1,XBB.1.16
JF.1.1,XBB.1.16
JF.3,XBB.1.16
JF.4,XBB.1.16
JG.1,EG.5.1
JG.2,EG.5.1
JG.3,EG.5.1
JG.3.1,EG.5.1
JG.3.2,EG.5.1
JG.3.3,EG.5.1
JG.4,EG.5.1
JH.1,BQ.1
JH.2,BQ.1
JJ.1,EG.5.1
JM.1,XBB.1.16
JM.2,XBB.1.16
JN.1,JN.1
JN.1.1,JN.1
JN.1.1.1,JN.1
JN.1.1.2,JN.1
JN.1.1.3,JN.1
JN.1.1.4,JN.1
JN.1.1.6,JN.1
JN.1.1.7,JN.1
JN.1.1.8,JN.1
JN.1.1.9,JN.1
JN.1.10,JN.1
JN.1.11,JN.1
JN.1.11.1,JN.1
JN.1.11.2,JN.1
JN.1.13.1,JN.1
JN.1.15,JN.1
JN.1.16.1,JN.1
JN.1.16.2,JN.1
JN.1.18,JN.1
JN.1.18.1,JN.1
JN.1.18.2,JN.1
JN.1.18.5,JN.1
JN.1.19,JN.1
JN.1.2,JN.1
JN.1.2.1,JN.1
JN.1.21,JN.1
JN.1.22,JN.1
JN.1.24,JN.1
JN.1.25.1,JN.1
JN.1.28,JN.1
JN.1.29,JN.1
JN.1.29.1,JN.1
JN.1.3,JN.1
JN.1.30,JN.1
JN.1.30.1,JN.1
JN.1.31,JN.1
JN.1.32,JN.1
JN.1.32.1,JN.1
JN.1.34,JN.1
JN.1.37,JN.1
JN.1.38,JN.1
JN.1.38.1,JN.1
JN.1.39,JN.1
JN.1.39.1,JN.1
JN.1.39.2,JN.1
JN.1.39.3,JN.1
JN.1.4,JN.1
JN.1.4.1,JN.1
JN.1.4.2,JN.1
JN.1.4.3,JN.1
JN.1.4.5,JN.1
JN.1.4.6,JN.1
JN.1.4.7,JN.1
JN.1.4.9,JN.1
JN.1.40,JN.1
JN.1.42,JN.1
JN.1.43,JN.1
JN.1.43.1,JN.1
JN.1.44,JN.1
JN.1.44.1,JN.1
JN.1.45,JN.1
JN.1.46,JN.1
JN.1.47,JN.1
JN.1.47.2,JN.1
JN.1.48,JN.1
JN.1.48.1,JN.1
JN.1.49,JN.1
JN.1.5,JN.1
JN.1.51,JN.1
JN.1.51.1,JN.1
JN.1.52,JN.1
JN.1.53,JN.1
JN.1.54,JN.1
JN.1.55,JN.1
JN.1.55.1,JN.1
JN.1.56,JN.1
JN.1.57,JN.1
JN.1.58,JN.1
JN.1.58.1,JN.1
JN.1.58.2,JN.1
JN.1.59,JN.1
JN.1.6,JN.1
JN.1.6.1,JN.1
JN.1.60,JN.1
JN.1.61,JN.1
JN.1.63,JN.1
JN.1.63.1,JN.1
JN.1.64,JN.1
JN.1.64.1,JN.1
JN.1.65,JN.1
JN.1.67,JN.1
JN.1.67.1,JN.1
JN.1.68,JN.1
JN.1.7,JN.1
JN.1.7.1,JN.1
JN.1.7.2,JN.1
JN.1.7.3,JN.1
JN.1.7.4,JN.1
JN.1.7.5,JN.1
JN.1.8,JN.1
JN.1.8.1,JN.1
JN.1.8.3,JN.1
JN.1.8.4,JN.1
JN.1.9,JN.1
JN.1.9.1,JN.1
JN.1.9.2,JN.1
JN.10,BA.2
JN.11,BA.2
JN.12,BA.2
JN.13,BA.2
JN.13.1,BA.2
JN.16,BA.2
JN.17,BA.2
JN.18,BA.2
JN.2,BA.2
JN.2.1,BA.2
JN.2.2,BA.2
JN.2.2.1,BA.2
JN.2.3,BA.2
JN.2.4,BA.2
JN.2.5,BA.2
JN.3,BA.2
JN.3.1,BA.2
JN.3.2.1,BA.2
JN.3.3,BA.2
JN.4,BA.2
JN.5,BA.2
JN.5.1,BA.2
JN.6,BA.2
JN.7,BA.2
JN.9,BA.2
JP.1.1,CH.1.1
JQ.1,BA.2
JQ.2.1,BA.2
JR.1.1,EG.5.1
JR.1.1.1,EG.5.1
JS.1,other
JU.1,other
JV.2,CH.1.1.1
JW.1.1,XBB.1
JY.1,other
JY.1.1,other
JZ.1,XBB.1.5
KA.1,XBB.1.5
KB.1,EG.5.1
KB.2,EG.5.1
KB.4,EG.5.1
KC.1,XBB.1.9.1
KC.1.1,XBB.1.9.1
KE.1,XBB.1
KE.2,XBB.1
KE.3,XBB.1
KF.2,XBB.1.9.1
KG.1,CH.1.1.1
KG.2,CH.1.1.1
KH.1,other
KJ.1,XBB.1.16
KK.1,XBB.1.5
KL.1,EG.5.1
KL.1.1,EG.5.1
KP.1,JN.1
KP.1.1,JN.1
KP.1.1.1,JN.1
KP.1.1.2,JN.1
KP.2,JN.1
KP.2.1,JN.1
KP.2.11,JN.1
KP.2.16,JN.1
KP.2.2,JN.1
KP.2.23,JN.1
KP.2.25,JN.1
KP.2.3,JN.1
KP.2.5,JN.1
KP.2.7,JN.1
KP.3.1,JN.1
KP.3.1.4,JN.1
KP.3.2,JN.1
KP.3.2.4,JN.1
KP.4,JN.1
KP.4.1,JN.1
KP.4.1.1,JN.1
KP.4.2,JN.1
KP.5,JN.1
KP.6,JN.1
KQ.1,JN.1
KR.1,JN.1
KR.3,JN.1
KS.1,JN.1
KS.2,JN.1
KT.1,other
KT.1.1,other
KT.1.2,other
KU.1,JN.1
KU.2,JN.1
KU.2.2,JN.1
KW.1,JN.1
KW.1.1,JN.1
KY.1,JN.1
KZ.1.1,JN.1
L.3,B.1.1
LA.1,JN.1
LA.2,JN.1
LB.1,JN.1
LE.1,JN.1
LE.1.1,JN.1
LE.1.2,JN.1
LE.2,JN.1
LF.1,JN.1
LQ.1.1,JN.1
LV.1,BA.2
MD.1,JN.1
MD.3,JN.1
N.5,B.1.1
P.1,B.1.1
P.1.1,B.1.1
P.1.10.1,B.1.1
P.1.14,B.1.1
P.1.15,B.1.1
P.1.16,B.1.1
P.1.17,B.1.1
P.1.2,B.1.1
P.1.7,B.1.1
P.1.8,B.1.1
P.2,B.1.1
P.3,B.1.1
P.7,B.1.1
Q.1,B.1.1.7
Q.2,B.1.1.7
Q.3,B.1.1.7
Q.4,B.1.1.7
Q.7,B.1.1.7
Q.8,B.1.1.7
R.1,B.1.1
W.1,B.1.177
XA,other
XAB,other
XAC,other
XAD,other
XAF,other
XAG,other
XAH,other
XAJ,other
XAK,other
XAL,other
XAN,other
XAP,other
XAR,other
XAS,other
XAU,other
XAV,other
XAY.1,other
XAY.1.1.1,other
XAY.2,other
XAZ,other
XBB,other
XBB.1,XBB.1
XBB.1.1,XBB.1
XBB.1.11.1,XBB.1
XBB.1.12,XBB.1
XBB.1.13,XBB.1
XBB.1.13.1,XBB.1
XBB.1.14,XBB.1
XBB.1.15,XBB.1
XBB.1.15.1,XBB.1
XBB.1.16,XBB.1.16
XBB.1.16.1,XBB.1.16
XBB.1.16.10,XBB.1.16
XBB.1.16.11,XBB.1.16
XBB.1.16.12,XBB.1.16
XBB.1.16.13,XBB.1.16
XBB.1.16.14,XBB.1.16
XBB.1.16.15,XBB.1.16
XBB.1.16.16,XBB.1.16
XBB.1.16.17,XBB.1.16
XBB.1.16.18,XBB.1.16
XBB.1.16.19,XBB.1.16
XBB.1.16.2,XBB.1.16
XBB.1.16.20,XBB.1.16
XBB.1.16.21,XBB.1.16
XBB.1.16.22,XBB.1.16
XBB.1.16.23,XBB.1.16
XBB.1.16.24,XBB.1.16
XBB.1.16.25,XBB.1.16
XBB.1.16.27,XBB.1.16
XBB.1.16.28,XBB.1.16
XBB.1.16.29,XBB.1.16
XBB.1.16.3,XBB.1.16
XBB.1.16.30,XBB.1.16
XBB.1.16.31,XBB.1.16
XBB.1.16.32,XBB.1.16
XBB.1.16.4,XBB.1.16
XBB.1.16.5,XBB.1.16
XBB.1.16.6,XBB.1.16
XBB.1.16.7,XBB.1.16
XBB.1.16.8,XBB.1.16
XBB.1.16.9,XBB.1.16
XBB.1.17,XBB.1
XBB.1.17.1,XBB.1
XBB.1.17.2,XBB.1
XBB.1.18,XBB.1
XBB.1.18.1,XBB.1
XBB.1.19,XBB.1
XBB.1.19.1,XBB.1
XBB.1.19.2,XBB.1
XBB.1.22,XBB.1
XBB.1.22.1,XBB.1
XBB.1.22.2,XBB.1
XBB.1.24.1,XBB.1
XBB.1.27,XBB.1
XBB.1.28,XBB.1
XBB.1.28.1,XBB.1
XBB.1.3,XBB.1
XBB.1.30,XBB.1
XBB.1.31,XBB.1
XBB.1.32,XBB.1
XBB.1.33,XBB.1
XBB.1.34,XBB.1
XBB.1.34.1,XBB.1
XBB.1.35,XBB.1
XBB.1.36,XBB.1
XBB.1.37,XBB.1
XBB.1.37.1,XBB.1
XBB.1.38,XBB.1
XBB.1.4,XBB.1
XBB.1.4.1,XBB.1
XBB.1.41,XBB.1
XBB.1.41.1,XBB.1
XBB.1.41.2,XBB.1
XBB.1.41.3,XBB.1
XBB.1.42,XBB.1
XBB.1.42.1,XBB.1
XBB.1.42.2,XBB.1
XBB.1.43.1,XBB.1
XBB.1.44.1,XBB.1
XBB.1.45,XBB.1
XBB.1.47,XBB.1
XBB.1.48,XBB.1
XBB.1.5,XBB.1.5
XBB.1.5.1,XBB.1.5
XBB.1.5.10,XBB.1.5
XBB.1.5.100,XBB.1.5
XBB.1.5.103,XBB.1.5
XBB.1.5.104,XBB.1.5
XBB.1.5.105,XBB.1.5
XBB.1.5.107,XBB.1.5
XBB.1.5.108,XBB.1.5
XBB.1.5.109,XBB.1.5
XBB.1.5.11,XBB.1.5
XBB.1.5.110,XBB.1.5
